,Comment,Forum,Segments,NoStopPunct
0,"搵曬cctv 重整當日721 恐襲事件
睇到我又喊多次",1,"搵 曬 cctv   重整 當日 721   恐襲 事件 
 睇 到 我 又 喊 多次",搵 曬 cctv 重整 當日 721 恐襲 事件 喊 多次
1,呢條片根本可以直接send 比班狗去拉人,1,呢 條片 根本 可以 直接 send   比班狗 去 拉 人,條片 根本 直接 send 比班狗 拉 人
2,我個港豬老母睇得好入神,1,我個 港豬 老母 睇 得 好 入神,我個 港豬 老母 入神
3,可以搞播放會,1,可以 搞 播放 會,搞 播放
4,"推
光復香港，時代革命！
想比更多人知道其實而家呢一刻基本上得番香港獨立呢條路，
我知好多人未準備好，我知而家急唔黎。
但係想大家思考下，種下一個思想，唔好屌我住。
而家就算有真普選其實都係under中共！！
咁唔通去到2047再抗爭過咩，西方國家都出唔到手幫你地。
因為白紙黑字寫明50年，西方國家唔好話出手，連發聲既正當性都冇啊
可能好多前人都係到諗點解英國當時唔寫999年！
可能好多我地呢代既諗點解上一代冇去抗爭！
可能好多下一代係2047係到諗點解我地唔直接爭取獨立！！！
2047到時只會都係變返中國，仲要一下子就變，一定好多人接受唔到。
所有問題去到最後只會追究到主權問題，希望大家思考下。
今次搞到咁大真係最後一次反擊同最大力量。
BTW，五大訴求，缺一不可！
雙普選應要排最頭",1,"推 
 光復 香港 ， 時代 革命 ！ 
 想 比 更多 人 知道 其實 而家 呢 一刻 基本上 得番 香港 獨立 呢 條路 ， 
 我知 好多 人未 準備 好 ， 我知 而家 急 唔 黎 。 
 但係 想 大家 思考 下 ， 種下 一個 思想 ， 唔好 屌 我 住 。 
 而家 就算 有 真 普選 其實 都 係 under 中共 ！ ！ 
 咁 唔通 去到 2047 再抗 爭過 咩 ， 西方 國家 都 出 唔 到手 幫 你 地 。 
 因為 白紙黑字 寫明 50 年 ， 西方 國家 唔好 話 出手 ， 連發 聲 既 正當性 都 冇 啊 
 可能 好多 前人 都 係 到 諗 點解 英國 當時 唔 寫 999 年 ！ 
 可能 好多 我 地 呢 代 既 諗 點解 上 一代 冇 去 抗爭 ！ 
 可能 好多 下一代 係 2047 係 到 諗 點解 我 地 唔 直接 爭取 獨立 ！ ！ ！ 
 2047 到時 只會 都 係 變返 中國 ， 仲要 一下子 就 變 ， 一定 好多 人 接受 唔 到 。 
 所有 問題 去到 最後 只會 追究 到 主權 問題 ， 希望 大家 思考 下 。 
 今次 搞 到 咁 大 真係 最後 一次 反擊 同 最大 力量 。 
 BTW ， 五大 訴求 ， 缺一不可 ！ 
 雙 普選 應要 排 最頭",推 光復 香港 時代 革命 比 更多 人 知道 其實 一刻 基本上 得番 香港 獨立 條路 我知 好多 人未 準備 我知 急 黎 大家 思考 下 種下 一個 思想 唔好 屌 住 就算 真 普選 其實 under 中共 唔通 去到 2047 再抗 爭過 西方 國家 出 到手 幫 地 白紙黑字 寫明 50 年 西方 國家 唔好 出手 連發 聲 正當性 好多 前人 英國 當時 寫 999 年 好多 地 代 上 一代 抗爭 好多 下一代 2047 地 直接 爭取 獨立 2047 到時 只會 變返 中國 仲要 一下子 變 好多 人 接受 所有 問題 去到 最後 只會 追究 主權 問題 希望 大家 思考 下 今次 搞 大 最後 一次 反擊 最大 力量 BTW 五大 訴求 缺一不可 雙 普選 應要 排 最頭
5,快d send 埋其他rthk 既片啦,1,快 d   send   埋 其他 rthk   既片 啦,快 d send 埋 rthk 既片 啦
6,唔敢睇,1,唔 敢 睇,敢
7,"Keep住推元朗恐襲
毋忘721
日文維基page已經update元朗恐襲:",1,"Keep 住 推 元朗 恐襲 
 毋忘 721 
 日文 維基 page 已經 up d at e 元朗 恐襲 :",Keep 住 推 元朗 恐襲 毋忘 721 日文 維基 page up d at e 元朗 恐襲
8,"睇到李漢x話無時間睇錶果度
想一拳打撚爆個mon",1,"睇 到 李漢 x 話 無 時間 睇 錶 果度 
 想 一拳 打 撚 爆個 mon",李漢 x 時間 錶 果度 一拳 打 撚 爆個 mon
9,成個真相出晒黎！點解仲有人可以當無事發生過！,1,成個 真相 出晒黎 ！ 點解 仲有 人 可以 當 無事 發生 過 ！,成個 真相 出晒黎 仲有 人 當 無事 發生
