Comment,Forum
"搵曬cctv 重整當日721 恐襲事件
睇到我又喊多次",LIHKG
呢條片根本可以直接send 比班狗去拉人,LIHKG
我個港豬老母睇得好入神,LIHKG
可以搞播放會,LIHKG
"推
光復香港，時代革命！
想比更多人知道其實而家呢一刻基本上得番香港獨立呢條路，
我知好多人未準備好，我知而家急唔黎。
但係想大家思考下，種下一個思想，唔好屌我住。
而家就算有真普選其實都係under中共！！
咁唔通去到2047再抗爭過咩，西方國家都出唔到手幫你地。
因為白紙黑字寫明50年，西方國家唔好話出手，連發聲既正當性都冇啊
可能好多前人都係到諗點解英國當時唔寫999年！
可能好多我地呢代既諗點解上一代冇去抗爭！
可能好多下一代係2047係到諗點解我地唔直接爭取獨立！！！
2047到時只會都係變返中國，仲要一下子就變，一定好多人接受唔到。
所有問題去到最後只會追究到主權問題，希望大家思考下。
今次搞到咁大真係最後一次反擊同最大力量。
BTW，五大訴求，缺一不可！
雙普選應要排最頭",LIHKG
快d send 埋其他rthk 既片啦,LIHKG
唔敢睇,LIHKG
"Keep住推元朗恐襲
毋忘721
日文維基page已經update元朗恐襲:",LIHKG
"睇到李漢x話無時間睇錶果度
想一拳打撚爆個mon",LIHKG
成個真相出晒黎！點解仲有人可以當無事發生過！,LIHKG
高汁,LIHKG
唯一可以攞公帑鬧政府既公營機構,LIHKG
推比師奶睇,LIHKG
要支持良心媒體,LIHKG
推到佢攞普立茲獎,LIHKG
啲牛屎飛會唔會搞鳩啲舖頭,LIHKG
"港台
唔睇都埋嚟推下po",LIHKG
光復香港 時代革命,LIHKG
唔係受害人可唔可以去報案？睇到好心痛 想收班鄉黑牛屎佬皮,LIHKG
個CCTV + 時間地圖分析極高質,LIHKG
"可以用黎做呈堂証供啦屌
最後先諷刺，拉果13個都係和非法集會罰500了事",LIHKG
"好撚高質 已經算係調查報告
再次證明
黑警死全家 沒有一個係無辜",LIHKG
推俾所有人睇,LIHKG
鐵證如山,LIHKG
"冇喊過
只有仇恨",LIHKG
根本有心查連平民都查到,LIHKG
"痴線 睇多次真係睇到眼火爆
呢段就係最強既文宣片",LIHKG
實在好藉得睇,LIHKG
推!!!大家記得click入youtube條片同subscribe RTHK,LIHKG
唔敢睇,LIHKG
期望差狗去拉白衫「自己人」？倒不如…,LIHKG
睇到好撚嬲！屌你老母臭閪死黑警,LIHKG
幫RTHK r多次資源，唔好俾政府有藉口cut cost,LIHKG
屌完更加憎恨黑警,LIHKG
"岩岩睇完
心情又再低落過",LIHKG
按錯了負sorry正評推一推,LIHKG
真係好撚心寒，要鋤死班仆街！,LIHKG
"推到比多啲人知 睇下黑警係幾咁欺善怕惡
成班黑警視若無睹 見到咁大堆白衫集結都唔去調查不特止 仲要渣車走撚埋",LIHKG
黑警沒有一個係無辜,LIHKG
"NOW同港台真係正到痴線
黑警正仆街",LIHKG
"唔敢睇都決定睇曬
驚呢樣野慢慢係心入面淡忘 慢慢變得習慣
慢慢無左果種憤怒",LIHKG
唔敢睇，恐怖過鬼片。,LIHKG
我睇完心都up哂,LIHKG
"721真係官鄉黑合作既""典範""
時間錯位夾到痴撚線 2範人+何妖完全各自行動
除左握手之外無交集 但肯定一早安排好曬
有組織咁發動恐襲",LIHKG
唔忍心再睇,LIHKG
報俾邊個 白衫同黑警同一班人黎,LIHKG
港台真心高質,LIHKG
"重播31台
而家",LIHKG
"簡單方便支持學生
買張全新既
普通版八達通
每張$150
已經可以支持學生
走時向閘口俾學生
回程車費$25食飯$50
下次食飯$50用到負值
退票$22再買單程票去
俾學生返去可食餐飽
下次食飽有錢坐車去
麻煩閘口買票既改下方式
唔好再買單程票
轉買八達通俾學生
d錢留返俾學生食飯啦
大人既自己買張八達專用
用完去退再買過張新既用",LIHKG
要煲大呢件事！講起元朗藍屍都會收皮！,LIHKG
唔明點解咁大件事無人繼續追究,LIHKG
一定要大大力推,LIHKG
元朗係扭轉社會輿論既彈藥 唔好嘥左佢,LIHKG
一定要追究 最有機入到班狗數,LIHKG
提下香港人黑警失職！警黑一家,LIHKG
唔可以放過班狗,LIHKG
其實呢段片有無得拎去廉署告班黑警？,LIHKG
追究黑警！,LIHKG
黑警無一個無辜,LIHKG
"阻阻大家 開左個整合post
幫幫手report d藍絲 保護前線",LIHKG
用MV形式幫大家重溫下依兩個月既黑暗醜惡,LIHKG
告到佢地仆街,LIHKG
咁癬件事點解無人追究,LIHKG
白衣condom,LIHKG
由612到宜家林鄭同中聯辦成日諗屎橋諗住想民意逆轉 跟住每一次都失敗然後有更多人出嚟,LIHKG
畀人拉既義士多過白衣人幾倍,LIHKG
Mr sunshine: 支持香港警察,LIHKG
"辛苦晒咁快出到片一定做得好辛苦
記住照顧好自己身體健康",LIHKG
黑警擘大眼講大話,LIHKG
追究到底！,LIHKG
推佢老母,LIHKG
黑警死全家,LIHKG
"元朗遊行召集人第二日就俾人拉左
何君堯！石鏡泉！就咩事都無
公平咩？仲有無公理公義？
聲討正義就拉，策劃恐襲既就坐係屋企凉冷氣",LIHKG
解散香港公安局,LIHKG
有線都好高汁,LIHKG
港台電視部好多節目都好正,LIHKG
呢廿分鐘每一秒都係精華，查案咁查，仲要將啲事實同黑警嘅大話剪埋一齊好撚正,LIHKG
係連中國國務院小官聽到都走夾唔抖嘅政治醜聞,LIHKG
我要罷工,LIHKG
推到未日,LIHKG
"Push
好撚嬲",LIHKG
班狗開始有報應,LIHKG
push 真相要比更多人知,LIHKG
拉自己？,LIHKG
依個完全可以拎去告黑警,LIHKG
班狗仔又唔洗做野 就有料 屌 要心幫佢做埋一份,LIHKG
"仆你個街 班死狗拉咗人未呀
打人就咁鬼叻 黑社會你地朋友呀嘛
死黑警不得好死",LIHKG
"再睇返成件事
睇到我好嬲好嬲好嬲，又好心up
呢個香港突然間變得好陌生
已經唔再係我熟悉嘅香港",LIHKG
想打佢個頭,LIHKG
"tvb 唔播 = 家老唔睇
=又廢",LIHKG
屌 推 推比全世界港豬 香港市民 藍屍 睇,LIHKG
"支持
我老母果輩覺得RTHK持平中立
會肯睇同信",LIHKG
"大家一定要 subscript RTHK 個 youtube channel
支持 RTHK",LIHKG
"屌
比中華膠老豆睇佢駁話RTHK係食外國水
所以先特登拎呢件事黎做文章
又話蘇先生比人打一定係先撩者賤
又扯到去有van司機起中環都比人打又唔見有人關心
我whatsapp左比佢未覆，打救緊自己老豆老母嘅集思廣益下
上環van司機又關元朗咩事？我一直講緊元朗警察失職啊
你係講就講呢單
上環打人你覺得唔岩，元朗呢？？？？？？？？？？？？？
你講個單
同元朗廚房佬被打一樣，挑釁就比人打好合理姐？？？？？？？
唔好雙重標準啦喂",LIHKG
"黑警 黑社會 朋友
你地對唔對得住自己個名 自己份工 自己所謂既警察
垃圾 全撚部黑警都係仆街
咪撚同我講你地維護法紀 保護市民, 你地連人都不如",LIHKG
會唔會有巴絲翻譯做外語？,LIHKG
大陸閪真係地球垃圾,LIHKG
"食外國水
叫佢查下RTHK咩料先啦",LIHKG
你同你老豆講香港電台公營機構 食政府錢㗎喎,LIHKG
我無野講,LIHKG
人手置頂,LIHKG
係香港講事實已經好殘酷,LIHKG
啲舖頭驚唔驚俾人找晦氣好擔心,LIHKG
其實可唔可以有民間調查組,LIHKG
"心痛
thanks 港台",LIHKG
比班懶中立既中產睇,LIHKG
睇到好撚嬲,LIHKG
"釋放示威人士
撤銷所有控罪
追究黑警",LIHKG
"睇完真係好嬲, 嬲到諗唔到講咩",LIHKG
我老豆老母都睇YouTube 啦,LIHKG
每次睇都忍唔住喊.....,LIHKG
中國義和團2.0,LIHKG
仲有經緯線,LIHKG
真係喊左出黎,LIHKG
唔想又睇多次,LIHKG
"睇完喊到而家
和理非罷工之外，仲做到咩野",LIHKG
仲衰，睇d字幕滾動，機械人聲片,LIHKG
d 狗無一個喺無辜 屌你老母,LIHKG
"前線比人拉左 可能坐10年
快d搵人總籌 尼次唔等得
有40幾條友要幫啊
sorry騎劫你個post",LIHKG
搵人幫手做字幕,LIHKG
睇完有無咩反應？,LIHKG
"有得諗！
播鏗鏘集起碼淺藍／廢老／對家唔會咁抗拒先！

//天琦：政治的工作不只是要令支持自己的人繼續支持自己，而更是要令不支持自己的人轉為支持自己，改變想法，認同自己的方向。//",LIHKG
"肯定係仲起英殖時代
同佢拗呢個point其實無用，點都會話私底收左外國錢
佢連明報都覺得係偏頗，石鏡泉叫中立",LIHKG
可以翻譯做國際版嗎,LIHKG
應該係國務院播，記得配上簡體字，睇下北大人仲是否高度讚許香港警察,LIHKG
港台就快死，快啲幫佢。佢哋年年被cut budget.,LIHKG
我直接send 咗俾幾隻狗friend,LIHKG
納稅人養佐班唔識保護市民既狗，反而識驅趕主人,LIHKG
下次唔好退，要救落單義士，只要有一百人唔怕死一定可以打番轉頭，救番義士，對黑警唔好再驚！手足要不停睇斯巴達戰士洗自己腦,LIHKG
"五大訴求
1. 徹底撤回逃犯修訂條例
2. 釋放所有因反送中被捕人士並承諾永不追究
3. 撤回612暴動定性
4.追究警察濫權濫暴(包括721元朗官警黑勾結事件)，成立獨立調查委員會
5. 立即實行雙普選",LIHKG
respect記者 商戶都好配合比足cctv,LIHKG
睇完完全訓唔到,LIHKG
呢d就真係人神共憤喇,LIHKG
"轉31台
全力支持港台 繼續為社會發聲",LIHKG
推俾全世界知,LIHKG
"RTHK靠政府撥款營運㗎 政府想cut budget好耐
大家要落力支持RTHK 讓佢繼續中立 唔好淪為政府喉舌",LIHKG
警犬:全部都係我既人，你點同我鬥,LIHKG
知咩料啦,LIHKG
堅持五大訴求 拒絕警黑勾結,LIHKG
睇撚到欲哭無淚,LIHKG
share出去,LIHKG
"已經唔係鬧政府 或者偏黃
只係報緊真相 真相永遠站在公義一方",LIHKG
請隨便,LIHKG
rthk好波,LIHKG
香港電台 香港良心,LIHKG
經緯線都幾高汁,LIHKG
光復香港 時代革命,LIHKG
"係連登推冇用
擺上各大中老年人睇既平台啦",LIHKG
"推上香港utube 熱門, yahoo搜尋字熱門",LIHKG
港台不嬲高質,LIHKG
"元朗黑夜，我搜集咗目前已有嘅資料
整理出相信係目前最完整嘅記錄

8:49pm：白衫人喺天橋底嗰鳳攸北街休憩處聚集（盡在元朗live）
9:20pm：有人喺休憩處被打（有線新聞）
9:50pm：有人喺休憩處、渠附近被打（Now新聞）
10:33pm：有人喺月台聽到兩個白衫WhatsApp同人講「班人唔敢出黎，匿埋咗喺月台」（民間社福界資訊地球post）
10:40pm：有人喺西鐵站中間位見到白衫同人口角，十幾個白衫（跳）入閘打交（網民Fubi地球post）
10:44pm：林卓廷開始live，已見到有人受咗傷，地下有血跡，現場人士稱白衫人已離開
10:45pm：港鐵發現元朗站大堂有人爭執（港鐵話）
10:47pm：港鐵報警（港鐵話）
10:47pm：見到好多白衫人出現喺西鐵站中間位，隔空攻擊閘內市民（林卓廷live到3分幾）
10:51pm：立場新聞開始live
10:52pm：兩名軍裝警員到場了解情況（警方話）
10:5Xpm：兩名軍裝警員從G2出口離開（古天后炒股日記地球post）
10:55pm：立場姐姐話15分鐘之前，first-aider已報警（立場live到4分幾）
10:58pm：立場姐姐出咗閘機，隨即被一個大叔追打至瞓低（立場新聞live到7分幾）
11:00pm：閘內市民撤退上月台，白衫一路追上去（林卓廷live到16分幾）
11:00pm：西鐵不停元朗站（有線新聞）
11:03pm：白衫上到月到襲擊車廂內市民（林卓廷live到19分幾）
11:05pm：見到白衫喺月台襲擊車廂內市民（立場新聞live到14分鐘)
11:13pm：列車終於開出，白衫暴徒落去、離開月台（立場新聞live到22分鐘）
11:15pm：立場姐姐話見到警察剛到達現場，「白衫人士喺另一邊即鏡頭最盡個出口離開緊」（立場新聞live到24分幾）
11:16pm：白衫人向G2出口跑走，多名警員施施然到場（網民David地球post、網友提供片段）
11:20pm：警員到場（警察話）
11:22pm：多名白衫人從天橋抵雞地（網友提供照片）
11:24pm：市民鼓譟，同警察理論（立場新聞live到33分鐘）
11:44pm：大批警察從J出口離開（立場新聞live到53分鐘）
11:52pm：指揮官李漢民在西鐵站J出口外話冇睇錶（港台新聞）
00:27am：白衫暴徒拉起J出口鐵閘返回車站追打市民（港台新聞）
01:00am前：白衫在南邊圍村出面追打私家車（有線新聞）
01:20am：警察同記者去到南邊圍村口，被拒入內（有線新聞）
03:36am：警察入南邊圍村，記者被拒入內（有線新聞）
03:52am：警察出村，冇人被捕（有線新聞）
04:06am：白衫坐私家車離開南邊圍村（有線新聞）
05:15am：警司游乃強話唔見有攻擊性武器、不能肯定村口人士參與打鬥（HK01）

在林卓廷同立場live之後，好多野都有記錄
但佢地開live之前嘅現場情況係點，好少人知
10點40分之前大約一粒鐘幾乎冇資料
可以話係「神秘一小時」！
成班暴徒係點樣走上西鐵站？警察係咪知情？
黑警玩冷處理，追查真相要靠民間
除咗幫手頂置呢個post
下面呢個google form係收集線索
可以轉發畀住元朗嘅朋友、幫手重組案情
亦可用呢個QR code：
民間獨立調查委員會，正、式、成、立！",LIHKG
有用post， 推,LIHKG
727元朗見,LIHKG
師兄麻煩做埋 69 612 71 77 713 714 721,LIHKG
我地幾萬對眼同政府超級電腦死過，重現真相,LIHKG
麻煩727去嘅巴絲睇一睇,LIHKG
我冇野講,LIHKG
不推不是人,LIHKG
民間獨立調查,LIHKG
民間獨立調查,LIHKG
"唔好再走去屌個啲膠POST分化POST批鬥POST同FAKE NEWS，阻到正經POST，理返正經野先啦
黑警開槍打手足開撚左三十幾槍呀！
光復香港！
時代革命！
爭取五大訴求！
1. 全面撤回送中條例
2. 撤銷6.12暴動定性
3. 釋放被捕義士並承諾永不追究
4. 全面實行雙普選
5. 成立獨立調查委員會，追究黑警濫用暴力，徹查警黑勾結7.21元朗恐襲",LIHKG
呢個太簡化，還原唔到真相,LIHKG
樓主 google form 一齊整,LIHKG
可以入去同樓主合作改改文宣,LIHKG
冇資料，元朗呢個都整理咗成日,LIHKG
支持成立民間自衛隊，民間獨立調查委員會,LIHKG
"巴打辛苦晒
仲有白衫人返返西鐵站時由警察身邊經過
之前見到出面有po有條高清片 搵唔返",LIHKG
支持成立民間自衛隊，民間獨立調查委員會,LIHKG
仲有堆圖中午已經開始集結,LIHKG
"整個 system 比人入就得, 大家每人比料做d 真心有用, 香港人用自己眼自己調查",LIHKG
"推 我想知有幕黑衫係咁二迫一迫白衫係幾點
因為撐政府果班成日用囷段片話黑衫撩人先
如果知幾點可以加番落去嘛?
好似1AM左右的",LIHKG
咦，我好似未見過呢條,LIHKG
唔明你講緊邊個片段，有冇link,LIHKG
空白的一坪？,LIHKG
"見到有圖
巴士的報影到林卓廷一方拎水喉同滅火筒噴向白衫
懷疑咁樣激起白衫沖入閘",LIHKG
"幫推
好有心",LIHKG
"可唔可以加多項清算人物
我可以入名入埋REFERENCE (片)",LIHKG
"如果真係民事獨立調查
個時序要比返source",LIHKG
"陳方安生嗰份報告整成點?
佢應該好撚唔得閒，每個禮拜都有新嘢爆
集中5大訴求
1.全面撤回逃犯條例
2.撤銷暴動定性
3.釋放被捕義士並承諾永不追究
4.全面實行雙普選
5.成立獨立調查委員會追究黑警責任(包括警黑勾結元朗恐襲)",LIHKG
勁啊喂！！！,LIHKG
睇返林卓廷live，10:59pm射水，11:00pm d人入晒閘！,LIHKG
google form落唔到hyper link，但括咗source,LIHKG
"我想知呢段時間點解黑警同黑社會可以同時係J出口到呢?
11:52pm：指揮官李漢民在西鐵站J出口外話冇睇錶（港台新聞）
00:27am：白衫暴徒拉起J出口鐵閘返回車站追打市民（港台新聞）",LIHKG
"7月21日 21:09
元朗站有一班白衫呀叔聚集",LIHKG
光復香港 時代革命,LIHKG
"１。全面撤回送中
２。撤銷暴動定性
３。釋放被捕義士並承諾永不追究
４。全面實行雙普選
５。成立獨立調查委員會追究黑警責任＋徹查警黑勾結元朗暴動",LIHKG
加影片助受傷者向警務署索償,LIHKG
"要求狗鐵主動交CCTV比黑驚
比我地就一定話咩私隱乜乜乜
比黑驚冇借口啦呱
到時比左片黑驚都做唔到野就係黑驚辦事不力",LIHKG
thx 巴打,LIHKG
"警黑勾結，人民自救
7月27，反抗元朗黑勢力
五大訴求，缺一不可",LIHKG
"推
好似幾詳細",LIHKG
幫推,LIHKG
努力搵咗陣，仲未搵到時間,LIHKG
靠自己調查,LIHKG
我無野講,LIHKG
我都想知⋯⋯,LIHKG
我要見律師,LIHKG
我唔解鎖,LIHKG
呢幅你影？,LIHKG
迷敏嘅人幾有質素,LIHKG
"阻阻大家 小弟嘅白宮聯署差兩千咋
希望request國際人道救援/援助 人道監察
已經有九萬七千人簽咗
係我知 未必work 但呢個簡單嘅步驟 希望咁多位唔好放棄任何一線機會
希望大家用兩分鐘簽簽佢記住confirm埋email
大家繼續幫手文宣 各自爬山 山頂見",LIHKG
"我估你講呢個 post
講真，林卓廷應該叫市民快D走，睇到呢條片再加佢 pc 講D野，幾反感，如果我係中立而當時受傷個D市民，睇左應該會屌佢。傷少少就驚死無人知，大把市民仲有柳俊江個D就真係傷啦⋯⋯",LIHKG
尋求事實真相,LIHKG
"11:52pm：指揮官李漢民在西鐵站J出口外話冇睇錶（港台新聞）
00:27am：白衫暴徒拉起J出口鐵閘返回車站追打市民（港台新聞）
原來差半個鐘咁近?真係明放?",LIHKG
好有心巴打 推,LIHKG
個晚話出左刀全部live停哂記者拔足狂奔係fake？,LIHKG
